User;date;time;Device;Model;gt;x;y;z;dummy
g;23.02.2015;13:18:55.175;nexus4_1;nexus4;stand;0.0014038086;5.0354E-4;-0.0124053955;;
g;23.02.2015;13:18:55.378;nexus4_1;nexus4;stand;-0.0039367676;0.026138306;-0.01133728;;
g;23.02.2015;13:18:55.577;nexus4_1;nexus4;stand;0.003540039;-0.034744263;-0.019882202;;
g;23.02.2015;13:18:55.779;nexus4_2;nexus4;stand;0.002822876;0.005584717;0.017318726;;
g;23.02.2015;13:18:55.982;nexus4_2;nexus4;stand;0.0017547607;-0.018981934;-0.022201538;;
g;23.02.2015;13:18:56.186;nexus4_1;nexus4;stand;0.0014038086;0.010116577;4.119873E-4;;
g;23.02.2015;13:18:56.385;nexus4_2;nexus4;stand;-0.0035858154;-0.008300781;0.011978149;;
g;23.02.2015;13:18:56.584;nexus4_2;nexus4;stand;6.866455E-4;-0.0018920898;-0.0061798096;;
g;23.02.2015;13:18:56.789;nexus4_2;nexus4;stand;0.0038909912;0.011993408;-0.0104522705;;
g;23.02.2015;13:18:56.992;nexus4_2;nexus4;stand;-0.001449585;0.014129639;0.0066375732;;
g;23.02.2015;13:18:57.194;nexus4_1;nexus4;stand;0.0014038086;0.0037078857;0.0025482178;;
g;23.02.2015;13:18:57.394;nexus4_1;nexus4;stand;0.0024719238;-0.009109497;-0.0017242432;;
g;23.02.2015;13:18:57.595;nexus4_2;nexus4;stand;-0.0046539307;0.015197754;0.008773804;;
g;23.02.2015;13:18:57.794;nexus4_1;nexus4;stand;-0.0018005371;0.0015716553;0.032455444;;
g;23.02.2015;13:18:57.996;nexus4_2;nexus4;stand;-0.001449585;-0.0040283203;0.010910034;;
g;23.02.2015;13:18:58.198;nexus4_2;nexus4;stand;-0.0046539307;0.015197754;0.021591187;;
g;23.02.2015;13:18:58.417;nexus4_2;nexus4;stand;0.0060272217;0.0077209473;-0.038223267;;
g;23.02.2015;13:18:58.620;nexus4_2;nexus4;stand;-3.814697E-4;-0.015777588;-0.009384155;;
g;23.02.2015;13:18:58.821;nexus4_2;nexus4;stand;0.0049591064;-0.04675293;2.288818E-4;;
g;23.02.2015;13:18:59.027;nexus4_1;nexus4;stand;-0.038116455;0.015457153;0.0025482178;;
