User;date;time;Device;Model;gt;x;y;z;dummy
e;24.02.2015;17:38:39.039;nexus4_1;nexus4;stairsup;-1.073822;-0.23213196;0.38539124;;
e;24.02.2015;17:38:39.238;nexus4_2;nexus4;stairsup;-0.7475891;0.37809753;0.8387146;;
e;24.02.2015;17:38:39.445;nexus4_2;nexus4;stairsup;-1.5454712;-0.11216736;-0.4227295;;
e;24.02.2015;17:38:39.645;nexus4_1;nexus4;stairsup;0.49417114;0.023147583;-0.116622925;;
e;24.02.2015;17:38:39.845;nexus4_1;nexus4;stairsup;-0.76620483;-0.30049133;0.28712463;;
e;24.02.2015;17:38:40.051;nexus4_2;nexus4;stairsup;-0.19430542;0.8662262;0.093170166;;
e;24.02.2015;17:38:40.249;nexus4_2;nexus4;stairsup;-0.9868469;0.37916565;0.20211792;;
e;24.02.2015;17:38:40.449;nexus4_2;nexus4;stairsup;0.21585083;-0.38346863;-0.30523682;;
e;24.02.2015;17:38:40.652;nexus4_2;nexus4;stairsup;0.36218262;-0.29481506;-1.5741577;;
e;24.02.2015;17:38:40.857;nexus4_1;nexus4;stairsup;-0.6860962;-1.5800934;-1.0010223;;
e;24.02.2015;17:38:41.055;nexus4_2;nexus4;stairsup;-0.16867065;-0.6056366;-0.83288574;;
e;24.02.2015;17:38:41.259;nexus4_2;nexus4;stairsup;0.09942627;0.54045105;-1.7760315;;
e;24.02.2015;17:38:41.461;nexus4_2;nexus4;stairsup;0.67941284;-0.4731903;-1.0838928;;
e;24.02.2015;17:38:41.656;nexus4_2;nexus4;stairsup;0.5437622;-1.2005768;-1.2900391;;
e;24.02.2015;17:38:41.863;nexus4_1;nexus4;stairsup;0.8925781;0.06800842;-0.9561615;;
e;24.02.2015;17:38:42.063;nexus4_2;nexus4;stairsup;0.37072754;0.7113495;-1.855072;;
e;24.02.2015;17:38:42.268;nexus4_2;nexus4;stairsup;0.18060303;-0.17198181;-1.5453186;;
e;24.02.2015;17:38:42.465;nexus4_2;nexus4;stairsup;0.122924805;-0.4304657;-0.74850464;;
e;24.02.2015;17:38:42.723;nexus4_1;nexus4;stairsup;0.5539856;0.015670776;-0.40821838;;
e;24.02.2015;17:38:43.130;nexus4_1;nexus4;stairsup;-1.3686218;-0.8089142;-0.13478088;;
e;24.02.2015;17:38:43.536;nexus4_1;nexus4;stairsup;1.5142212;-0.927475;-0.39860535;;
e;24.02.2015;17:38:43.934;nexus4_1;nexus4;stairsup;-1.9891968;1.1329193;0.41423035;;
e;24.02.2015;17:38:44.343;nexus4_1;nexus4;stairsup;1.614624;0.49739075;-0.16896057;;
e;24.02.2015;17:38:44.741;nexus4_1;nexus4;stairsup;-1.1047974;-0.68821716;-1.0138397;;
e;24.02.2015;17:38:45.142;nexus4_1;nexus4;stairsup;0.6682739;-0.3474884;0.2080841;;
e;24.02.2015;17:38:45.545;nexus4_1;nexus4;stairsup;-0.6647339;-0.9851532;-0.52571106;;
e;24.02.2015;17:38:45.963;nexus4_1;nexus4;stairsup;0.69070435;-0.37098694;0.4035492;;
e;24.02.2015;17:38:46.349;nexus4_1;nexus4;stairsup;-1.1336365;-0.28874207;-1.1751251;;
e;24.02.2015;17:38:46.752;nexus4_1;nexus4;stairsup;0.76867676;0.16520691;-0.4156952;;
e;24.02.2015;17:38:47.157;nexus4_1;nexus4;stairsup;1.3369141;0.08616638;0.1931305;;
e;24.02.2015;17:38:47.560;nexus4_1;nexus4;stairsup;0.64904785;-0.24067688;-1.2413483;;
e;24.02.2015;17:38:47.829;nexus4_1;nexus4;stairsup;0.5411682;0.79112244;-1.794632;;
e;24.02.2015;17:38:48.034;nexus4_1;nexus4;stairsup;0.427948;0.71635437;-1.887558;;
e;24.02.2015;17:38:48.234;nexus4_1;nexus4;stairsup;0.3852234;-0.42118835;-0.9016876;;
