User;date;time;Device;Model;gt;x;y;z;dummy
h;23.02.2015;16:45:22.218;nexus4_2;nexus4;sit;-0.0038604736;-3.204346E-4;0.012374878;;
h;23.02.2015;16:45:22.421;nexus4_2;nexus4;sit;-0.025222778;0.071243286;0.003829956;;
h;23.02.2015;16:45:22.620;nexus4_1;nexus4;sit;0.0017242432;-0.008758545;-0.030181885;;
h;23.02.2015;16:45:22.821;nexus4_2;nexus4;sit;4.119873E-4;0.024246216;0.012374878;;
h;23.02.2015;16:45:23.024;nexus4_2;nexus4;sit;0.017501831;0.027450562;0.0016937256;;
h;23.02.2015;16:45:23.226;nexus4_1;nexus4;sit;-0.003616333;-0.0066223145;-2.746582E-4;;
h;23.02.2015;16:45:23.428;nexus4_2;nexus4;sit;-0.0070648193;-0.007797241;-0.0079193115;;
h;23.02.2015;16:45:23.637;nexus4_2;nexus4;sit;4.119873E-4;-0.0013885498;0.0059661865;;
h;23.02.2015;16:45:23.827;nexus4_2;nexus4;sit;-0.0027923584;-0.0056610107;-0.0068511963;;
h;23.02.2015;16:45:24.034;nexus4_2;nexus4;sit;0.0014801025;-0.0056610107;0.0016937256;;
h;23.02.2015;16:45:24.233;nexus4_1;nexus4;sit;0.0038604736;0.0029907227;-0.0066833496;;
h;23.02.2015;16:45:24.437;nexus4_2;nexus4;sit;-0.00920105;-0.0035247803;0.003829956;;
h;23.02.2015;16:45:24.634;nexus4_1;nexus4;sit;0.0038604736;0.01473999;0.0018615723;;
h;23.02.2015;16:45:24.836;nexus4_1;nexus4;sit;-0.0025482178;-0.018371582;-0.025909424;;
h;23.02.2015;16:45:25.042;nexus4_1;nexus4;sit;-0.010025024;-0.015167236;-0.010955811;;
h;23.02.2015;16:45:25.240;nexus4_1;nexus4;sit;0.0476532;-0.02798462;-0.020568848;;
h;23.02.2015;16:45:25.440;nexus4_1;nexus4;sit;-0.012161255;-0.041870117;-0.00881958;;
h;23.02.2015;16:45:25.642;nexus4_1;nexus4;sit;0.005996704;-0.017303467;-0.010955811;;
h;23.02.2015;16:45:25.847;nexus4_1;nexus4;sit;-0.014297485;-0.033325195;-0.036590576;;
h;23.02.2015;16:45:26.043;nexus4_1;nexus4;sit;0.0017242432;-0.026916504;-0.0066833496;;
h;23.02.2015;16:45:26.245;nexus4_1;nexus4;sit;-0.014297485;-0.011962891;-0.007751465;;
h;23.02.2015;16:45:26.450;nexus4_2;nexus4;sit;-0.0038604736;-0.019546509;-0.033554077;;
h;23.02.2015;16:45:26.650;nexus4_2;nexus4;sit;-0.01133728;-0.040908813;-0.008987427;;
h;23.02.2015;16:45:26.863;nexus4_1;nexus4;sit;-0.003616333;0.0072631836;0.009338379;;
h;23.02.2015;16:45:27.057;nexus4_1;nexus4;sit;0.005996704;0.0029907227;-0.0013427734;;
h;23.02.2015;16:45:27.261;nexus4_2;nexus4;sit;-0.0038604736;-0.015274048;0.0016937256;;
h;23.02.2015;16:45:27.464;nexus4_2;nexus4;sit;-0.005996704;7.476807E-4;0.008102417;;
h;23.02.2015;16:45:27.660;nexus4_2;nexus4;sit;-0.008132935;0.010360718;-0.012191772;;
h;23.02.2015;16:45:27.862;nexus4_1;nexus4;sit;-0.03993225;-0.044006348;-0.003479004;;
h;23.02.2015;16:45:28.064;nexus4_2;nexus4;sit;0.0046844482;0.007156372;0.0059661865;;
h;23.02.2015;16:45:28.266;nexus4_1;nexus4;sit;0.016677856;0.0019226074;-0.012023926;;
h;23.02.2015;16:45:28.470;nexus4_1;nexus4;sit;0.017745972;0.01473999;-0.016296387;;
h;23.02.2015;16:45:28.666;nexus4_1;nexus4;sit;-0.0057525635;-0.0012817383;-0.004547119;;
h;23.02.2015;16:45:28.875;nexus4_1;nexus4;sit;0.004928589;0.020080566;-0.010955811;;
h;23.02.2015;16:45:29.074;nexus4_2;nexus4;sit;0.029251099;0.022109985;-0.014328003;;
h;23.02.2015;16:45:29.274;nexus4_2;nexus4;sit;0.007888794;-0.008865356;-4.425049E-4;;
h;23.02.2015;16:45:29.474;nexus4_1;nexus4;sit;0.0027923584;-0.0023498535;0.006134033;;
h;23.02.2015;16:45:29.684;nexus4_2;nexus4;sit;-0.0038604736;-3.204346E-4;-0.005783081;;
h;23.02.2015;16:45:29.877;nexus4_2;nexus4;sit;-0.0038604736;-0.0045928955;-0.0025787354;;
h;23.02.2015;16:45:30.079;nexus4_2;nexus4;sit;4.119873E-4;0.014633179;0.0027618408;;
h;23.02.2015;16:45:30.284;nexus4_1;nexus4;sit;0.0038604736;-0.0012817383;-2.746582E-4;;
h;23.02.2015;16:45:30.480;nexus4_1;nexus4;sit;0.0017242432;0.004058838;7.93457E-4;;
h;23.02.2015;16:45:30.688;nexus4_1;nexus4;sit;6.561279E-4;0.0019226074;-2.746582E-4;;
h;23.02.2015;16:45:30.885;nexus4_1;nexus4;sit;6.561279E-4;0.0029907227;-2.746582E-4;;
h;23.02.2015;16:45:31.088;nexus4_2;nexus4;sit;0.003616333;7.476807E-4;0.0027618408;;
h;23.02.2015;16:45:31.287;nexus4_1;nexus4;sit;6.561279E-4;0.0061950684;-2.746582E-4;;
h;23.02.2015;16:45:31.488;nexus4_1;nexus4;sit;0.0038604736;0.0115356445;0.0029296875;;
h;23.02.2015;16:45:31.689;nexus4_1;nexus4;sit;0.0027923584;0.015808105;0.0029296875;;
h;23.02.2015;16:45:31.893;nexus4_1;nexus4;sit;-4.119873E-4;0.0019226074;0.0018615723;;
h;23.02.2015;16:45:32.094;nexus4_1;nexus4;sit;6.561279E-4;8.544922E-4;0.0018615723;;
h;23.02.2015;16:45:32.292;nexus4_1;nexus4;sit;-0.0014801025;-0.004486084;0.0018615723;;
h;23.02.2015;16:45:32.494;nexus4_2;nexus4;sit;0.0046844482;0.010360718;-0.0015106201;;
h;23.02.2015;16:45:32.697;nexus4_1;nexus4;sit;-4.119873E-4;-0.014099121;-0.003479004;;
h;23.02.2015;16:45:32.896;nexus4_1;nexus4;sit;-0.0046844482;-0.010894775;7.93457E-4;;
h;23.02.2015;16:45:33.100;nexus4_1;nexus4;sit;6.561279E-4;-0.004486084;-0.003479004;;
h;23.02.2015;16:45:33.310;nexus4_2;nexus4;sit;-6.561279E-4;-0.0056610107;-0.0015106201;;
h;23.02.2015;16:45:33.512;nexus4_1;nexus4;sit;-0.0014801025;-0.004486084;-0.0013427734;;
h;23.02.2015;16:45:33.702;nexus4_2;nexus4;sit;-0.0017242432;-0.007797241;-0.0036468506;;
h;23.02.2015;16:45:33.907;nexus4_2;nexus4;sit;0.003616333;-0.002456665;6.256104E-4;;
h;23.02.2015;16:45:34.105;nexus4_1;nexus4;sit;-0.0014801025;0.004058838;7.93457E-4;;
h;23.02.2015;16:45:34.307;nexus4_2;nexus4;sit;-0.0017242432;-0.0035247803;-0.013259888;;
h;23.02.2015;16:45:34.509;nexus4_2;nexus4;sit;0.0014801025;0.0018157959;-0.0025787354;;
h;23.02.2015;16:45:34.709;nexus4_1;nexus4;sit;0.0017242432;0.008331299;-0.004547119;;
h;23.02.2015;16:45:34.913;nexus4_1;nexus4;sit;-0.0025482178;0.005126953;0.010406494;;
h;23.02.2015;16:45:35.123;nexus4_2;nexus4;sit;0.015365601;0.009292603;-0.011123657;;
h;23.02.2015;16:45:35.315;nexus4_2;nexus4;sit;0.012161255;0.011428833;-0.0079193115;;
h;23.02.2015;16:45:35.522;nexus4_1;nexus4;sit;6.561279E-4;0.0029907227;0.0018615723;;
h;23.02.2015;16:45:35.720;nexus4_2;nexus4;sit;-0.008132935;0.0050201416;-0.0036468506;;
h;23.02.2015;16:45:35.923;nexus4_2;nexus4;sit;4.119873E-4;0.0039520264;0.0048980713;;
h;23.02.2015;16:45:36.119;nexus4_1;nexus4;sit;-0.0014801025;-0.004486084;7.93457E-4;;
h;23.02.2015;16:45:36.322;nexus4_1;nexus4;sit;-0.0014801025;-0.0076904297;-2.746582E-4;;
h;23.02.2015;16:45:36.527;nexus4_2;nexus4;sit;0.0014801025;-0.0045928955;-0.0015106201;;
h;23.02.2015;16:45:36.724;nexus4_2;nexus4;sit;-0.0038604736;-0.008865356;-0.0025787354;;
h;23.02.2015;16:45:36.928;nexus4_1;nexus4;sit;-4.119873E-4;0.0019226074;-2.746582E-4;;
h;23.02.2015;16:45:37.134;nexus4_1;nexus4;sit;0.0027923584;0.0072631836;0.0029296875;;
h;23.02.2015;16:45:37.335;nexus4_2;nexus4;sit;4.119873E-4;-0.0045928955;6.256104E-4;;
h;23.02.2015;16:45:37.534;nexus4_1;nexus4;sit;0.0038604736;0.013671875;0.0039978027;;
h;23.02.2015;16:45:37.733;nexus4_1;nexus4;sit;6.561279E-4;-0.0066223145;7.93457E-4;;
h;23.02.2015;16:45:37.937;nexus4_1;nexus4;sit;-0.0014801025;-0.005554199;-0.0013427734;;
h;23.02.2015;16:45:38.135;nexus4_1;nexus4;sit;0.0017242432;8.544922E-4;7.93457E-4;;
h;23.02.2015;16:45:38.339;nexus4_1;nexus4;sit;-0.0057525635;-0.0066223145;-2.746582E-4;;
h;23.02.2015;16:45:38.542;nexus4_2;nexus4;sit;-0.0017242432;-0.002456665;-0.0025787354;;
h;23.02.2015;16:45:38.740;nexus4_2;nexus4;sit;4.119873E-4;-3.204346E-4;6.256104E-4;;
h;23.02.2015;16:45:38.945;nexus4_2;nexus4;sit;0.0025482178;-0.002456665;0.003829956;;
h;23.02.2015;16:45:39.141;nexus4_2;nexus4;sit;-0.004928589;-0.0056610107;-0.0015106201;;
h;23.02.2015;16:45:39.344;nexus4_1;nexus4;sit;-4.119873E-4;8.544922E-4;7.93457E-4;;
h;23.02.2015;16:45:39.553;nexus4_2;nexus4;sit;-0.0027923584;-0.002456665;-0.0015106201;;
h;23.02.2015;16:45:39.749;nexus4_2;nexus4;sit;-0.0017242432;-0.007797241;-4.425049E-4;;
h;23.02.2015;16:45:39.948;nexus4_1;nexus4;sit;6.561279E-4;-0.0034179688;-0.0013427734;;
h;23.02.2015;16:45:40.152;nexus4_2;nexus4;sit;0.0014801025;-3.204346E-4;6.256104E-4;;
h;23.02.2015;16:45:40.351;nexus4_2;nexus4;sit;-6.561279E-4;-0.002456665;0.0027618408;;
