User;date;time;Device;Model;gt;x;y;z;dummy
i;24.02.2015;14:12:39.809;nexus4_1;nexus4;stand;0.0022888184;0.013702393;-0.034698486;;
i;24.02.2015;14:12:40.010;nexus4_1;nexus4;stand;0.00869751;0.037200928;0.043273926;;
i;24.02.2015;14:12:40.216;nexus4_1;nexus4;stand;0.036468506;0.093811035;0.21310425;;
i;24.02.2015;14:12:40.412;nexus4_2;nexus4;stand;0.011886597;0.029953003;0.102890015;;
i;24.02.2015;14:12:40.614;nexus4_1;nexus4;stand;0.083465576;0.17605591;-0.17889404;;
i;24.02.2015;14:12:40.821;nexus4_1;nexus4;stand;-0.019073486;-0.033294678;0.04647827;;
i;24.02.2015;14:12:41.019;nexus4_1;nexus4;stand;0.022583008;-0.08883667;-0.12869263;;
i;24.02.2015;14:12:41.218;nexus4_2;nexus4;stand;-0.004135132;0.0011138916;0.05055237;;
i;24.02.2015;14:12:41.425;nexus4_2;nexus4;stand;0.016159058;-0.15696716;-0.11500549;;
i;24.02.2015;14:12:41.621;nexus4_2;nexus4;stand;-0.04045105;-0.06297302;0.30690002;;
i;24.02.2015;14:12:41.822;nexus4_1;nexus4;stand;0.00869751;-0.0140686035;0.10095215;;
i;24.02.2015;14:12:42.023;nexus4_1;nexus4;stand;0.079193115;-0.002319336;0.27612305;;
i;24.02.2015;14:12:42.224;nexus4_2;nexus4;stand;0.02684021;-0.02558899;0.08152771;;
i;24.02.2015;14:12:42.428;nexus4_1;nexus4;stand;-0.0970459;0.11303711;0.15115356;;
i;24.02.2015;14:12:42.630;nexus4_2;nexus4;stand;0.009750366;-0.16230774;0.21504211;;
i;24.02.2015;14:12:42.831;nexus4_2;nexus4;stand;-0.17396545;0.17094421;0.13279724;;
i;24.02.2015;14:12:43.029;nexus4_2;nexus4;stand;-0.10133362;0.0438385;0.11036682;;
i;24.02.2015;14:12:43.399;nexus4_1;nexus4;stand;0.12298584;-0.071746826;-0.038970947;;
i;24.02.2015;14:12:43.807;nexus4_1;nexus4;stand;0.07064819;-0.036499023;0.022979736;;
i;24.02.2015;14:12:44.204;nexus4_1;nexus4;stand;-0.04257202;0.035064697;0.0763855;;
i;24.02.2015;14:12:44.607;nexus4_1;nexus4;stand;-9.155273E-4;-0.053588867;0.09347534;;
i;24.02.2015;14:12:45.012;nexus4_1;nexus4;stand;-0.014801025;0.015838623;0.04006958;;
i;24.02.2015;14:12:45.414;nexus4_1;nexus4;stand;0.01083374;-0.045043945;-0.0047912598;;
i;24.02.2015;14:12:45.817;nexus4_1;nexus4;stand;-0.010528564;0.0051574707;-0.041107178;;
i;24.02.2015;14:12:46.217;nexus4_1;nexus4;stand;-0.008392334;-0.015136719;0.008026123;;
i;24.02.2015;14:12:46.620;nexus4_1;nexus4;stand;0.0022888184;0.007293701;0.008026123;;
i;24.02.2015;14:12:47.023;nexus4_1;nexus4;stand;-9.155273E-4;-0.002319336;-0.011199951;;
i;24.02.2015;14:12:47.427;nexus4_1;nexus4;stand;-0.0019836426;0.009429932;-0.0026550293;;
i;24.02.2015;14:12:47.761;nexus4_1;nexus4;stand;-0.0019836426;-0.007659912;0.0016174316;;
i;24.02.2015;14:12:47.965;nexus4_2;nexus4;stand;0.0033416748;-0.0042266846;0.0014190674;;
i;24.02.2015;14:12:48.172;nexus4_2;nexus4;stand;0.0022735596;0.006454468;-0.00819397;;
i;24.02.2015;14:12:48.369;nexus4_1;nexus4;stand;-9.155273E-4;-0.0044555664;0.0016174316;;
i;24.02.2015;14:12:48.566;nexus4_1;nexus4;stand;0.0012207031;-0.007659912;0.008026123;;
i;24.02.2015;14:12:48.766;nexus4_2;nexus4;stand;0.0012054443;-0.0084991455;0.0056915283;;
i;24.02.2015;14:12:48.967;nexus4_1;nexus4;stand;1.525879E-4;-0.015136719;0.003753662;;
i;24.02.2015;14:12:49.174;nexus4_2;nexus4;stand;0.0012054443;0.0021820068;0.0014190674;;
i;24.02.2015;14:12:49.370;nexus4_1;nexus4;stand;0.0022888184;-1.831055E-4;0.003753662;;
i;24.02.2015;14:12:49.572;nexus4_1;nexus4;stand;-9.155273E-4;0.001953125;0.0026855469;;
i;24.02.2015;14:12:49.774;nexus4_2;nexus4;stand;1.373291E-4;0.006454468;-7.171631E-4;;
i;24.02.2015;14:12:49.974;nexus4_1;nexus4;stand;-0.0030517578;0.001953125;0.003753662;;
i;24.02.2015;14:12:50.178;nexus4_1;nexus4;stand;0.0012207031;0.001953125;-0.0079956055;;
i;24.02.2015;14:12:50.381;nexus4_2;nexus4;stand;-0.0030670166;0.0011138916;-7.171631E-4;;
i;24.02.2015;14:12:50.583;nexus4_1;nexus4;stand;0.0012207031;-0.007659912;0.003753662;;
i;24.02.2015;14:12:50.781;nexus4_1;nexus4;stand;-0.0030517578;-0.002319336;0.0058898926;;
i;24.02.2015;14:12:50.987;nexus4_2;nexus4;stand;-0.0019989014;0.0021820068;0.009963989;;
i;24.02.2015;14:12:51.183;nexus4_1;nexus4;stand;0.0012207031;-0.002319336;-0.009063721;;
i;24.02.2015;14:12:51.387;nexus4_1;nexus4;stand;0.0022888184;0.001953125;-0.014404297;;
i;24.02.2015;14:12:51.588;nexus4_2;nexus4;stand;0.0012054443;-0.0052948;-0.0060577393;;
i;24.02.2015;14:12:51.790;nexus4_1;nexus4;stand;-9.155273E-4;-0.0033874512;-0.011199951;;
i;24.02.2015;14:12:51.989;nexus4_1;nexus4;stand;0.0012207031;-0.008728027;-0.0015869141;;
i;24.02.2015;14:12:52.193;nexus4_1;nexus4;stand;0.0033569336;-1.831055E-4;0.0016174316;;
i;24.02.2015;14:12:52.397;nexus4_2;nexus4;stand;0.0033416748;0.003250122;-0.0071258545;;
i;24.02.2015;14:12:52.599;nexus4_2;nexus4;stand;1.373291E-4;0.0053863525;3.509522E-4;;
i;24.02.2015;14:12:52.796;nexus4_1;nexus4;stand;1.525879E-4;-0.0012512207;-0.0047912598;;
i;24.02.2015;14:12:53.000;nexus4_2;nexus4;stand;1.373291E-4;0.0011138916;3.509522E-4;;
i;24.02.2015;14:12:53.201;nexus4_2;nexus4;stand;0.0012054443;-0.0084991455;-0.004989624;;
i;24.02.2015;14:12:53.398;nexus4_1;nexus4;stand;0.0012207031;0.010498047;0.014434814;;
i;24.02.2015;14:12:53.610;nexus4_1;nexus4;stand;1.525879E-4;0.011566162;-5.187988E-4;;
i;24.02.2015;14:12:53.802;nexus4_2;nexus4;stand;1.373291E-4;-0.0084991455;0.01210022;;
i;24.02.2015;14:12:54.010;nexus4_1;nexus4;stand;0.0012207031;0.0030212402;-0.0079956055;;
i;24.02.2015;14:12:54.204;nexus4_1;nexus4;stand;0.0022888184;0.0030212402;-5.187988E-4;;
