User;date;time;Device;Model;gt;x;y;z;dummy
c;23.02.2015;15:12:57.629;nexus4_2;nexus4;stand;5.493164E-4;-0.007232666;-0.03767395;;
c;23.02.2015;15:12:58.025;nexus4_2;nexus4;stand;-0.024017334;0.05899048;0.04777527;;
c;23.02.2015;15:12:58.433;nexus4_2;nexus4;stand;0.0101623535;-0.0093688965;-0.03553772;;
c;23.02.2015;15:12:58.838;nexus4_2;nexus4;stand;-0.010131836;-0.014709473;0.022140503;;
c;23.02.2015;15:13:01.204;nexus4_1;nexus4;stand;-0.013397217;-0.008239746;0.05256653;;
c;23.02.2015;15:13:01.613;nexus4_1;nexus4;stand;0.004760742;-0.022125244;0.01838684;;
c;23.02.2015;15:13:02.009;nexus4_1;nexus4;stand;-0.0262146;-0.018920898;-0.054244995;;
c;23.02.2015;15:13:02.414;nexus4_1;nexus4;stand;0.0058288574;0.010986328;-0.0104522705;;
c;23.02.2015;15:13:02.819;nexus4_1;nexus4;stand;0.01864624;-0.08834839;-0.013656616;;
c;23.02.2015;15:13:03.219;nexus4_1;nexus4;stand;0.029327393;0.015258789;0.010910034;;
c;23.02.2015;15:13:03.621;nexus4_1;nexus4;stand;-0.015533447;0.03982544;0.017318726;;
c;23.02.2015;15:13:03.988;nexus4_2;nexus4;stand;-0.024017334;0.017333984;0.03816223;;
c;23.02.2015;15:13:04.191;nexus4_1;nexus4;stand;0.003692627;-7.629395E-4;-0.015792847;;
c;23.02.2015;15:13:04.391;nexus4_1;nexus4;stand;-0.0069885254;3.051758E-4;-0.0019073486;;
c;23.02.2015;15:13:04.723;nexus4_2;nexus4;stand;-0.0069274902;0.0013122559;-0.0034942627;;
c;23.02.2015;15:13:05.137;nexus4_2;nexus4;stand;-0.009063721;0.0087890625;0.0029144287;;
c;23.02.2015;15:13:05.530;nexus4_2;nexus4;stand;5.493164E-4;-0.012573242;-2.89917E-4;;
c;23.02.2015;15:13:05.932;nexus4_2;nexus4;stand;-0.014404297;-0.04675293;-0.021652222;;
c;23.02.2015;15:13:06.334;nexus4_2;nexus4;stand;-0.019744873;-0.0040283203;0.032821655;;
c;23.02.2015;15:13:06.738;nexus4_2;nexus4;stand;-0.0069274902;-0.0040283203;0.011459351;;
c;23.02.2015;15:13:07.140;nexus4_2;nexus4;stand;0.003753662;-0.023254395;-0.021652222;;
c;23.02.2015;15:13:07.542;nexus4_2;nexus4;stand;0.0016174316;-0.0018920898;0.0061187744;;
c;23.02.2015;15:13:07.948;nexus4_2;nexus4;stand;0.018707275;0.0184021;-0.048355103;;
